Year;Movie;Director_OMDb;Genre;Runtime_min;Rated;IMDb_Rating;IMDb_Votes;Metascore;Rotten_Tomatoes;total_awards;Oscars - Best Picture;BAFTA - Best film;Golden Globes - Best movie;PGA - Best Picutre;Oscars - Best Director;BAFTA - Best Director;Golden Globes - Best Director;Oscars - Best Screenplay;BAFTA - Best Screenplay;Golden Globes - Best Screenplay;Oscars - Best Montage;BAFTA - Best Montage;Oscars - Best Cinematography;BAFTA - Best Cinematography
2026;Hamnet;Chloé Zhao;Biography, Drama, History;125.0;PG-13;7,8;113944.0;84.0;87.0;1;0;0.0;1.0;0.0;0;0;0;0;0;0;0.0;0;0;0
2026;Train Dreams;Clint Bentley;Drama;102.0;PG-13;7,5;105672.0;88.0;95.0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;0.0;0;0;0
2026;Sentimental Value;Joachim Trier;Drama;133.0;R;7,7;78390.0;86.0;97.0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;0.0;0;0;0
2026;F1;Joseph Kosinski;Action, Drama, Sport;155.0;PG-13;7,6;359646.0;68.0;82.0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;0.0;0;0;0
2026;Marty Supreme;Josh Safdie;Drama, Sport;149.0;R;7,6;176024.0;89.0;94.0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;0.0;0;0;0
2026;One Battle After Another;Paul Thomas Anderson;Action, Crime, Drama;161.0;R;7,6;406141.0;95.0;95.0;13;1;1.0;1.0;1.0;1;1;1;1;1;1;1.0;1;0;1
2026;Sinners;Ryan Coogler;Action, Drama, Horror;137.0;R;7,5;479802.0;84.0;97.0;3;0;0.0;0.0;0.0;0;0;0;1;1;0;0.0;0;1;0
2026;The Secret Agent;Stan Douglas;Drama;161.0;R;6,8;14.0;92.0;99.0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;0.0;0;0;0
2026;Bugonia;Yorgos Lanthimos;Comedy, Crime, Sci-Fi;118.0;R;7,4;188812.0;72.0;87.0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;0.0;0;0;0
2026;Frankenstein;Guillermo del Toro;Drama, Horror, Sci-Fi;139.0;R;7,4;314023.0;78.0;85.0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;0.0;0;0;0
2025;The Brutalist;Brady Corbet;Drama;216.0;R;7,2;143419.0;90.0;93.0;5;0;0.0;1.0;0.0;0;1;1;0;0;0;0.0;0;1;1
2025;The Substance;Coralie Fargeat;Drama, Horror, Sci-Fi;141.0;R;7,2;427402.0;78.0;89.0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;0.0;0;0;0
2025;Dune: Part Two;Denis Villeneuve;Action, Adventure, Drama;166.0;PG-13;8,4;747715.0;79.0;92.0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;0.0;0;0;0
2025;Conclave;Edward Berger;Drama, Thriller;120.0;PG-13;7,4;265708.0;79.0;93.0;5;0;1.0;0.0;0.0;0;0;0;1;1;1;0.0;1;0;0
2025;Wicked;Jon M. Chu;Horror;137.0;PG;6,7;58369.0;58.0;66.0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;0.0;0;0;0
2025;Nickel Boys;RaMell Ross;Drama;140.0;PG-13;6,9;24243.0;91.0;92.0;0;0;0.0;0.0;0.0;0;0;0;0;0;0;0.0;0;0;0
