Model,Bal.Acc,Precision,Recall,F1,AUC
Logistic Regression,0.8614,0.65,0.8125,0.7222,0.9103
SGD Classifier,0.762,0.75,0.5625,0.6429,0.9151
Ridge Classifier,0.7556,0.6923,0.5625,0.6207,0.9079
Perceptron,0.6995,0.7,0.4375,0.5385,0.9038
Passive Aggressive,0.7492,0.6429,0.5625,0.6,0.8926
SVM (RBF),0.8109,0.5455,0.75,0.6316,0.891
SVM (Linear),0.7308,0.7273,0.5,0.5926,0.9175
NuSVC,0.6554,0.5455,0.375,0.4444,0.8958
KNN (k=5),0.649,0.5,0.375,0.4286,0.7812
KNN (k=11),0.5929,0.4444,0.25,0.32,0.8562
Gaussian NB,0.8542,0.5185,0.875,0.6512,0.8277
Bernoulli NB,0.8109,0.5455,0.75,0.6316,0.8486
Decision Tree,0.7236,0.5,0.5625,0.5294,0.724
Extra Tree,0.6987,0.5,0.5,0.5,0.6995
Random Forest,0.774,0.625,0.625,0.625,0.887
Extra Trees,0.8301,0.6316,0.75,0.6857,0.8894
Gradient Boosting,0.8181,0.7333,0.6875,0.7097,0.9046
Hist Gradient Boosting,0.774,0.625,0.625,0.625,0.8542
AdaBoost,0.8181,0.7333,0.6875,0.7097,0.891
Bagging,0.762,0.75,0.5625,0.6429,0.879
MLP (100-50),0.5184,0.3333,0.0625,0.1053,0.7668
MLP (200-100-50),0.5184,0.3333,0.0625,0.1053,0.7893
LDA,0.7676,0.5882,0.625,0.6061,0.9079
QDA,0.73,0.5294,0.5625,0.5455,0.8317
XGBoost,0.8237,0.6,0.75,0.6667,0.8742
