Model,Komponenty,n,F1_mean,F1_std,AUC_mean
Logistic Regression,PCA=2,2,0.6324510614833195,0.08918850073142022,0.914044796302861
Logistic Regression,PCA=5,5,0.7672811059907835,0.05495283017793119,0.9654962122704058
Logistic Regression,PCA=10,10,0.7403878648233487,0.06017154579235694,0.9553553376134021
Logistic Regression,PCA=15,15,0.7784272942893633,0.05310356950685074,0.9554866280672731
Logistic Regression,Oryginał,40,0.8106871008939974,0.08168311384248081,0.9753029527223076
Random Forest,PCA=2,2,0.5789453567027938,0.19300322757948965,0.8782202266073235
Random Forest,PCA=5,5,0.6512719177443904,0.15828849196130648,0.9500981396142688
Random Forest,PCA=10,10,0.5549055775142732,0.22302387582721564,0.9516352226029646
Random Forest,PCA=15,15,0.5739348370927317,0.21985536108225634,0.9538428715848071
Random Forest,Oryginał,40,0.773426731078905,0.09673506660194939,0.9752875260939776
Hist Gradient Boosting,PCA=2,2,0.5908795602198901,0.1334389358430053,0.875962359026875
Hist Gradient Boosting,PCA=5,5,0.64997002997003,0.07679412105497245,0.9313738233093073
Hist Gradient Boosting,PCA=10,10,0.6346617592933382,0.090727223058484,0.9368309110244594
Hist Gradient Boosting,PCA=15,15,0.7328180354267311,0.07036859422101757,0.943596308112437
Hist Gradient Boosting,Oryginał,40,0.7283809523809524,0.07874388001270818,0.9662734517573227
